threshold,images,positive_images,negative_images,positive_mean_iou,positive_median_iou,positive_mean_dice,positive_mean_hausdorff_pixels,positive_mean_hausdorff95_pixels,positive_area_mae_pp,negative_mean_predicted_share_percent,negative_clean_rate_under_1_percent,overall_area_mae_pp,selection_score,threshold_accuracy,threshold_precision,threshold_recall,threshold_f1,threshold_tp,threshold_tn,threshold_fp,threshold_fn
0.7,15,6,9,0.5016533766784955,0.525532288934815,0.6414436015481785,895.4956461588541,546.8810145060221,14.168733916606056,0.47366476014115044,0.8888888888888888,5.9516924227271115,0.7092426905065059,1.0,1.0,1.0,1.0,6,9,0,0
0.7499999999999999,15,6,9,0.5010272425946928,0.5196937988260846,0.6388326032677979,941.6576894124349,543.9350738525391,14.211775076318633,0.2899913248835056,0.8888888888888888,5.858704825457556,0.7088983167604144,1.0,1.0,1.0,1.0,6,9,0,0
0.6499999999999999,15,6,9,0.5019014161756207,0.5291772246478987,0.6434012608172736,843.5695749918619,545.1008351643881,14.137591713229298,0.6946704531191562,0.7777777777777778,6.071838957163212,0.6927124455632581,1.0,1.0,1.0,1.0,6,9,0,0
0.5999999999999999,15,6,9,0.5029693706183647,0.5302841610354697,0.6459221733552879,844.1439514160156,548.9410349527994,15.295389438548346,0.8683364382345794,0.6666666666666666,6.639157638360086,0.6766331538401006,1.0,1.0,1.0,1.0,6,9,0,0
0.5499999999999999,15,6,9,0.5018458514989337,0.5277098192848142,0.6463569027126752,856.9240926106771,564.5967051188151,16.983719610306593,1.0913271769447432,0.6666666666666666,7.448284150289485,0.6760152183244136,1.0,1.0,1.0,1.0,6,9,0,0
0.49999999999999994,15,6,9,0.4995287697810052,0.5233610303504984,0.6453829935657424,846.931630452474,572.1527150472006,18.651041494467588,1.3414453366596975,0.5555555555555556,8.265283799782853,0.6580741567128862,1.0,1.0,1.0,1.0,6,9,0,0
0.44999999999999996,15,6,9,0.49718792317337734,0.5210804608542955,0.6441561895608664,845.1065673828125,605.8403828938802,20.699108456490112,1.7885566351729036,0.5555555555555556,9.352777363699788,0.6567866910786909,1.0,1.0,1.0,1.0,6,9,0,0
0.39999999999999997,15,6,9,0.48818484240246446,0.5299405550843335,0.6362467519634974,937.0868428548177,652.4910634358724,25.423906776929183,3.528932217032259,0.4444444444444444,12.286922040991028,0.612091406911099,0.9333333333333333,0.8571428571428571,1.0,0.923076923076923,6,8,1,0
0.35,15,6,9,0.46693166239245826,0.5283663164927855,0.6169612055901449,944.463623046875,642.5898081461588,30.59636243222244,11.658723227440895,0.0,19.233778909353518,0.49681241431585205,0.8,0.6666666666666666,1.0,0.8,6,6,3,0
0.3,15,6,9,0.4234017392626996,0.5028951461598667,0.575735266374798,921.0017801920573,620.2311808268229,39.20361714496682,55.157686054154446,0.0,48.77605849047939,0.40429952802305624,0.4,0.4,1.0,0.5714285714285715,6,0,9,0
0.25,15,6,9,0.3418428076169909,0.39936807084114245,0.49606956439349076,959.1216634114584,624.7191925048828,55.699079182646734,88.75904850069449,0.0,75.53506077347538,0.35944211561791645,0.4,0.4,1.0,0.5714285714285715,6,0,9,0
